"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","[CreateOrder2] create order","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:54 MSK 2024","","OrderServiceSuite","",""
"","69","[GetFeedbacksByUserID] Incorrect user ID","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackServiceSuite","",""
"","42","[UpdateRacket] add racket quantity","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","59","[AddRacket] add new racket","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","69","[GetFeedbacksByRacketID] success","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackServiceSuite","",""
"","39","[GetFeedbacksByRacketID] Get feedbacks by racket id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackRepoSuite","",""
"","90","[GetAllOrders2] wrong column name","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","OrderServiceSuite","",""
"","100","[GetOrderByID2] correct order id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:54 MSK 2024","","OrderServiceSuite","",""
"","19","[Update] Update racket","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketRepoSuite","",""
"","26","[UpdateRacket] correct request","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketServiceSuite","",""
"","8","[UpdateUser] Correct","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserServiceSuite","",""
"","5","[GetCartByID] existed cart","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","AuthServiceSuite","",""
"","53","[GetFeedbacksByUserID] Get feedback feedback","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackRepoSuite","",""
"","3","[Update] Update cart","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartRepoSuite","",""
"","54","[AddRacket] No racket","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","2","[Create] Create cart","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartRepoSuite","",""
"","43","[RemoveRacket] no cart yet","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","40","[UpdateRacket] no cart yet","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","48","[RemoveRacket] remove not existed racket","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","41","[UpdateRacket] subtract racket quantity","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","18","[Update] Update order","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","OrderRepoSuite","",""
"","7","[UpdateUser] Incorrrect ID","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserServiceSuite","",""
"","79","[DeleteFeedback] repository error","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackServiceSuite","",""
"","18","[UpdateRacket] wrong ID","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketServiceSuite","",""
"","13","[CreateRacket] wrong amount","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketServiceSuite","",""
"","86","[GetAllUsers] Get all users","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserRepoSuite","",""
"","17","[GetOrderByID] Get order by id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","OrderRepoSuite","",""
"","6","[Delete] Get cart by id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartRepoSuite","",""
"","63","[Delete] Delete user","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserRepoSuite","",""
"","7","[AddRacket] Add racket to cart","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartRepoSuite","",""
"","46","[RemoveRacket] remove existed racket","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","65","[CreateFeedback] Incorrect","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackServiceSuite","",""
"","39","[Create] Create feedback","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackRepoSuite","",""
"","7","[GetAllRackets] get rackets","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketServiceSuite","",""
"","61","[Create] Create user","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserRepoSuite","",""
"","45","[AddRacket] Create cart","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartServiceSuite","",""
"","48","[Login] Incorrect password","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","AuthServiceSuite","",""
"","19","[CreateRacket] correct request","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketServiceSuite","",""
