"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","2","","CartServiceSuite","","","","[UpdateRacket] subtract racket quantity",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:43 GMT 2024","1186","","AuthServiceSuite","","","","[Register] User already exists",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","18","","OrderServiceSuite","","","","[GetAllOrders2] wrong column name",""
"passed","Wed Oct 23 19:43:04 GMT 2024","Wed Oct 23 19:43:04 GMT 2024","85","","E2ESuite","","","","[E2E] E2E Test",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","6","","OrderServiceSuite","","","","[GetOrderByID1] wrong order id",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","2","","UserServiceSuite","","","","[GetAllUsers] Correct",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","20","","UserRepoSuite","","","","[Delete] Delete user",""
"passed","Wed Oct 23 19:42:54 GMT 2024","Wed Oct 23 19:42:54 GMT 2024","14","","RacketSuite","","","","[Integration GetAllRackets] Correct",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","55","","CartServiceSuite","","","","[UpdateRacket] no cart yet",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","8","","RacketRepoSuite","","","","[Create] Create racket",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","40","","RacketServiceSuite","","","","[CreateRacket] correct request",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","7","","OrderRepoSuite","","","","[Create] Create order",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","4","","CartServiceSuite","","","","[RemoveRacket] remove not existed racket",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","18","","CartServiceSuite","","","","[AddRacket] add new racket",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","27","","FeedbackRepoSuite","","","","[GetFeedbacksByUserID] Get feedback feedback",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","9","","OrderServiceSuite","","","","[CreateOrder1] no existed cart",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","19","","OrderRepoSuite","","","","[GetAllOrders] Get all orders",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","4","","OrderRepoSuite","","","","[Delete] Update order",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","36","","OrderServiceSuite","","","","[GetAllOrders1] get all orders",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","40","","UserServiceSuite","","","","[GetAllUsers] Repository error",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","9","","CartRepoSuite","","","","[GetCartByID] Get cart by id",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:43 GMT 2024","1185","","AuthServiceSuite","","","","[Register] Correct",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","37","","CartServiceSuite","","","","[AddRacket] Create cart",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","27","","RacketServiceSuite","","","","[GetRacketByID] wrong id",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","53","","CartServiceSuite","","","","[AddRacket] No racket",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","13","","OrderRepoSuite","","","","[GetOrderByID] Get order by id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","69","","FeedbackServiceSuite","","","","[GetFeedbacksByUserID] Incorrect user ID",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","5","","CartServiceSuite","","","","[RemoveRacket] remove existed racket",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:44 GMT 2024","2010","","AuthServiceSuite","","","","[Login] Correct password",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","28","","FeedbackRepoSuite","","","","[GetFeedbacksByRacketID] Get feedbacks by racket id",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","2","","OrderServiceSuite","","","","[UpdateOrderStatus] correct order id",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","16","","FeedbackRepoSuite","","","","[GetFeedback] Get feedback",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","1","","CartRepoSuite","","","","[Update] Update cart",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","22","","UserRepoSuite","","","","[Create] Create user",""
"passed","Wed Oct 23 19:42:54 GMT 2024","Wed Oct 23 19:42:54 GMT 2024","12","","RacketSuite","","","","[Integration GetRacketByID] wrong id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","66","","FeedbackServiceSuite","","","","[CreateFeedback] Incorrect",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","50","","FeedbackServiceSuite","","","","[GetFeedbacksByRacketID] success",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","5","","UserRepoSuite","","","","[Delete] Delete user",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","48","","CartServiceSuite","","","","[RemoveRacket] no cart yet",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","46","","RacketServiceSuite","","","","[CreateRacket] wrong amount",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","5","","CartRepoSuite","","","","[RemoveRacket] Remove racket to cart",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","6","","RacketRepoSuite","","","","[GetRacketByID] Get racket by ID",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","17","","OrderRepoSuite","","","","[GetMyOrders] Get my orders",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","4","","AuthServiceSuite","","","","[Login] User doesn't exist",""
"passed","Wed Oct 23 19:42:54 GMT 2024","Wed Oct 23 19:42:54 GMT 2024","5","","UserSuite","","","","[Integration GetUserByID] Correct ID",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","22","","UserRepoSuite","","","","[GetUserByEmail] Get user by email",""
"passed","Wed Oct 23 19:42:54 GMT 2024","Wed Oct 23 19:42:54 GMT 2024","4","","AuthSuite","","","","[Register] User already exists",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","41","","RacketServiceSuite","","","","[GetAllRackets] no rackets",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","69","","FeedbackServiceSuite","","","","[DeleteFeedback] not existed feedback",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","27","","FeedbackRepoSuite","","","","[Update] Update feedback",""
"passed","Wed Oct 23 19:42:53 GMT 2024","Wed Oct 23 19:42:53 GMT 2024","20","","CartRepoSuite","","","","[Delete] Delete cart by id",""
"passed","Wed Oct 23 19:42:54 GMT 2024","Wed Oct 23 19:42:54 GMT 2024","8","","UserSuite","","","","[Integration UpdateUser] Correct",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","59","","FeedbackServiceSuite","","","","[CreateFeedback] Correct",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","29","","RacketServiceSuite","","","","[GetAllRackets] get rackets",""
"passed","Wed Oct 23 19:41:42 GMT 2024","Wed Oct 23 19:41:42 GMT 2024","45","","RacketServiceSuite","","","","[UpdateRacket] correct request",""
