"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","124","","OrderRepoSuite","","","","[GetMyOrders] Get my orders",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","41","","OrderServiceSuite","","","","[CreateOrder2] create order",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","129","","CartRepoSuite","","","","[Create] Create cart",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","95","","RacketRepoSuite","","","","[Delete] Delete racket",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:28 GMT 2024","953","","AuthServiceSuite","","","","[Register] User already exists",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:28 GMT 2024","1659","","AuthServiceSuite","","","","[Login] Correct password",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","74","","CartServiceSuite","","","","[RemoveRacket] remove existed racket",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","5","","UserRepoSuite","","","","[GetUserByID] Get user by id",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","122","","OrderRepoSuite","","","","[Update] Update order",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","35","","RacketServiceSuite","","","","[UpdateRacket] wrong ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","82","","CartServiceSuite","","","","[RemoveRacket] no cart yet",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:23 GMT 2024","778","","AuthSuite","","","","[Login] Incorrect password",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","127","","OrderRepoSuite","","","","[GetAllOrders] Get all orders",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","47","","RacketServiceSuite","","","","[CreateRacket] wrong amount",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","6","","OrderServiceSuite","","","","[GetAllOrders1] get all orders",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","6","","OrderServiceSuite","","","","[GetMyOrders2] correct user id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","UserServiceSuite","","","","[UpdateUser] Correct",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","8","","RacketServiceSuite","","","","[GetRacketByID] correct id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","48","","RacketServiceSuite","","","","[CreateRacket] correct request",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","148","","UserRepoSuite","","","","[GetUserByEmail] Get user by email",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:28 GMT 2024","1650","","AuthServiceSuite","","","","[Login] Incorrect password",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","114","","UserRepoSuite","","","","[GetUserByID] Get user by id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","66","","FeedbackServiceSuite","","","","[CreateFeedback] Incorrect",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","55","","FeedbackServiceSuite","","","","[GetFeedbacksByRacketID] Incorrect racket ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","32","","RacketServiceSuite","","","","[GetRacketByID] wrong id",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","41","","RacketSuite","","","","[Integration GetRacketByID] correct id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","85","","CartServiceSuite","","","","[UpdateRacket] add racket quantity",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","AuthServiceSuite","","","","[GetCartByID] existed cart",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","66","","RacketSuite","","","","[Integration GetAllRackets] Correct",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","28","","FeedbackRepoSuite","","","","[GetFeedbacksByRacketID] Get feedbacks by racket id",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","63","","RacketSuite","","","","[Integration CreateRacket] correct request",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","16","","FeedbackRepoSuite","","","","[GetFeedback] Get feedback",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","87","","CartServiceSuite","","","","[AddRacket] No racket",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","39","","RacketSuite","","","","[Integration UpdateRacket] wrong ID",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","10","","AuthSuite","","","","[Register] User already exists",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","UserServiceSuite","","","","[UpdateUser] Incorrrect ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","UserServiceSuite","","","","[GetAllUsers] Repository error",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","27","","FeedbackRepoSuite","","","","[Update] Update feedback",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","27","","FeedbackRepoSuite","","","","[GetFeedbacksByUserID] Get feedback feedback",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","11","","OrderServiceSuite","","","","[GetMyOrders1] wrong user id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","83","","CartServiceSuite","","","","[AddRacket] add new racket",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","16","","UserSuite","","","","[Integration UpdateUser] Incorrrect ID",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:23 GMT 2024","809","","AuthSuite","","","","[Login] Correct password",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","3","","UserRepoSuite","","","","[Create] Create user",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","UserServiceSuite","","","","[GetUserByID] Correct ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","23","","OrderServiceSuite","","","","[GetOrderByID2] correct order id",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","57","","CartRepoSuite","","","","[GetCartByID] Get cart by id",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","16","","UserSuite","","","","[Integration GetAllUsers] Correct",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","10","","OrderServiceSuite","","","","[GetOrderByID1] wrong order id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","57","","FeedbackServiceSuite","","","","[DeleteFeedback] repository error",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","80","","RacketRepoSuite","","","","[Update] Update racket",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","157","","UserRepoSuite","","","","[Update] Update user role",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","36","","RacketServiceSuite","","","","[UpdateRacket] correct request",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","171","","CartRepoSuite","","","","[Delete] Delete cart by id",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","91","","RacketRepoSuite","","","","[Create] Create racket",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","59","","FeedbackServiceSuite","","","","[CreateFeedback] Correct",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","26","","RacketServiceSuite","","","","[GetAllRackets] no rackets",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","30","","FeedbackRepoSuite","","","","[Create] Create feedback",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","81","","RacketSuite","","","","[Integration UpdateRacket] correct request",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","4","","AuthServiceSuite","","","","[Login] User doesn't exist",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","4","","UserServiceSuite","","","","[GetAllUsers] Correct",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","103","","UserRepoSuite","","","","[Delete] Delete user",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","14","","FeedbackRepoSuite","","","","[Delete] Delete feedback",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","83","","UserRepoSuite","","","","[GetAllUsers] Get all users",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","42","","OrderServiceSuite","","","","[CreateOrder1] no existed cart",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","32","","RacketServiceSuite","","","","[GetAllRackets] get rackets",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","25","","RacketRepoSuite","","","","[GetAllRackets] Get all rackets",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","50","","FeedbackServiceSuite","","","","[GetFeedbacksByRacketID] success",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","94","","CartServiceSuite","","","","[UpdateRacket] no cart yet",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","3","","RacketSuite","","","","[Integration CreateRacket] wrong amount",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","9","","UserRepoSuite","","","","[Delete] Delete user",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:23 GMT 2024","808","","AuthSuite","","","","[Register] Successfully registered",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","69","","FeedbackServiceSuite","","","","[GetFeedbacksByUserID] Incorrect user ID",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","5","","UserRepoSuite","","","","[GetUserByEmail] Get user by email",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","4","","UserRepoSuite","","","","[GetAllUsers] Get all users",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","11","","AuthSuite","","","","[Login] User doesn't exist",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","93","","CartServiceSuite","","","","[UpdateRacket] subtract racket quantity",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","53","","FeedbackServiceSuite","","","","[DeleteFeedback] success",""
"passed","Wed Oct 23 17:43:06 GMT 2024","Wed Oct 23 17:43:06 GMT 2024","90","","CartRepoSuite","","","","[RemoveRacket] Remove racket to cart",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","54","","OrderRepoSuite","","","","[GetOrderByID] Get order by id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","23","","OrderServiceSuite","","","","[UpdateOrderStatus] correct order id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","4","","AuthServiceSuite","","","","[GetCartByID] no existed cart",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","64","","CartRepoSuite","","","","[AddRacket] Add racket to cart",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:28 GMT 2024","953","","AuthServiceSuite","","","","[Register] Correct",""
"passed","Wed Oct 23 17:45:22 GMT 2024","Wed Oct 23 17:45:22 GMT 2024","33","","RacketSuite","","","","[Integration GetRacketByID] wrong id",""
"passed","Wed Oct 23 17:26:57 GMT 2024","Wed Oct 23 17:26:57 GMT 2024","43","","E2ESuite","","","","[E2E] E2E Test",""
