"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","4","","CartRepoSuite","","","","[Update] Update cart",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","4","","AuthServiceSuite","","","","[GetCartByID] no existed cart",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","AuthServiceSuite","","","","[GetCartByID] existed cart",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","28","","FeedbackRepoSuite","","","","[GetFeedbacksByRacketID] Get feedbacks by racket id",""
"passed","Tue Oct 22 20:57:09 GMT 2024","Tue Oct 22 20:57:09 GMT 2024","40","","RacketRepoSuite","","","","[Create] Create racket",""
"passed","Tue Oct 22 20:57:09 GMT 2024","Tue Oct 22 20:57:09 GMT 2024","4","","UserRepoSuite","","","","[GetUserByID] Get user by id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","23","","OrderServiceSuite","","","","[UpdateOrderStatus] correct order id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","19","","OrderServiceSuite","","","","[GetAllOrders2] wrong column name",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","50","","FeedbackServiceSuite","","","","[GetFeedbacksByRacketID] success",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","5","","CartRepoSuite","","","","[GetCartByID] Get cart by id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","83","","CartServiceSuite","","","","[AddRacket] add new racket",""
"failed","Tue Oct 22 20:10:33 GMT 2024","Tue Oct 22 20:10:33 GMT 2024","32","","RacketSuite","","","","[Integration GetAllRackets] no rackets",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:28 GMT 2024","1650","","AuthServiceSuite","","","","[Login] Incorrect password",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","26","","RacketServiceSuite","","","","[GetAllRackets] no rackets",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","7","","CartRepoSuite","","","","[Create] Create cart",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","35","","RacketServiceSuite","","","","[UpdateRacket] wrong ID",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","14","","FeedbackRepoSuite","","","","[Delete] Delete feedback",""
"passed","Tue Oct 22 20:10:33 GMT 2024","Tue Oct 22 20:10:33 GMT 2024","42","","UserSuite","","","","[Integration UpdateUser] Correct",""
"passed","Tue Oct 22 20:10:33 GMT 2024","Tue Oct 22 20:10:33 GMT 2024","37","","RacketSuite","","","","[Integration GetRacketByID] wrong id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","73","","CartServiceSuite","","","","[AddRacket] Create cart",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","69","","FeedbackServiceSuite","","","","[GetFeedbacksByUserID] Incorrect user ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","42","","OrderServiceSuite","","","","[CreateOrder1] no existed cart",""
"passed","Tue Oct 22 20:10:33 GMT 2024","Tue Oct 22 20:10:33 GMT 2024","34","","RacketSuite","","","","[Integration CreateRacket] correct request",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","12","","OrderRepoSuite","","","","[GetOrderByID] Get order by id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","6","","OrderServiceSuite","","","","[GetMyOrders2] correct user id",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","UserServiceSuite","","","","[GetUserByID] Correct ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","23","","OrderServiceSuite","","","","[GetOrderByID2] correct order id",""
"passed","Tue Oct 22 20:59:37 GMT 2024","Tue Oct 22 20:59:37 GMT 2024","710","","AuthSuite","","","","[Register] Successfully registered",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","66","","FeedbackServiceSuite","","","","[CreateFeedback] Incorrect",""
"passed","Tue Oct 22 20:59:37 GMT 2024","Tue Oct 22 20:59:37 GMT 2024","719","","AuthSuite","","","","[Login] Correct password",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:28 GMT 2024","953","","AuthServiceSuite","","","","[Register] Correct",""
"passed","Tue Oct 22 20:57:09 GMT 2024","Tue Oct 22 20:57:09 GMT 2024","46","","RacketRepoSuite","","","","[Delete] Delete racket",""
"passed","Tue Oct 22 20:10:33 GMT 2024","Tue Oct 22 20:10:33 GMT 2024","11","","UserSuite","","","","[Integration GetUserByID] Correct ID",""
"passed","Tue Oct 22 20:45:27 GMT 2024","Tue Oct 22 20:45:27 GMT 2024","3","","UserServiceSuite","","","","[GetAllUsers] Repository error",""
"passed","Tue Oct 22 20:10:33 GMT 2024","Tue Oct 22 20:10:33 GMT 2024","7","","UserSuite","","","","[Integration UpdateUser] Incorrrect ID",""
"passed","Tue Oct 22 20:57:09 GMT 2024","Tue Oct 22 20:57:09 GMT 2024","29","","UserRepoSuite","","","","[Delete] Delete user",""
"passed","Tue Oct 22 20:45:26 GMT 2024","Tue Oct 22 20:45:26 GMT 2024","2","","UserRepoSuite","","","","[Update] Update user role",""
